symbol,timeframe,side,zone_low,zone_high,signal_type,timestamp,source_file
TLMUSDT,1m,support,0.00332,0.003328,breakout,2026-07-07T13:17:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\07.07.2026\Снимок экрана 2026-07-09 222309.png
ALLOUSDT,5m,resistance,0.42848,0.4293,breakout,2026-07-07T13:09:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\07.07.2026\Снимок экрана 2026-07-09 222314.png
LITUSDT,5m,support,2.5083,2.5244,breakout,2026-07-07T11:24:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\07.07.2026\Снимок экрана 2026-07-09 222318.png
LABUSDT,1m,support,13.5,13.555,breakout,2026-07-07T09:51:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\07.07.2026\Снимок экрана 2026-07-09 222322.png
ALLOUSDT,1m,resistance,0.42874,0.4293,breakout,2026-07-07T07:26:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\07.07.2026\Снимок экрана 2026-07-09 222328.png
LITUSDT,1m,resistance,2.6254,2.6401,breakout,2026-07-07T05:16:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\07.07.2026\Снимок экрана 2026-07-09 222333.png
1000BONKUSDT,1m,resistance,0.004487,0.004508,breakout,2026-07-07T04:33:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\07.07.2026\Снимок экрана 2026-07-09 222337.png
SNDRUSDT,5m,resistance,1707.62,1714.99,breakout,2026-07-08T22:51:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\08.07.2026\Снимок экрана 2026-07-09 221454.png
ZECUSDT,1m,resistance,468.0,468.58,breakout,2026-07-08T21:44:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\08.07.2026\Снимок экрана 2026-07-09 221459.png
BLURUSDT,5m,resistance,0.01927,0.01935,breakout,2026-07-08T19:31:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\08.07.2026\Снимок экрана 2026-07-09 221503.png
SPCXUSDT,1m,support,148.39,148.5,breakout,2026-07-08T17:58:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\08.07.2026\Снимок экрана 2026-07-09 221510.png
HYPEUSDT,5m,support,67.152,67.365,breakout,2026-07-08T17:34:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\08.07.2026\Снимок экрана 2026-07-09 221513.png
HYPEUSDT,5m,support,67.365,67.375,breakout,2026-07-08T17:34:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\08.07.2026\Снимок экрана 2026-07-09 221517.png
SPCXUSDT,1h,support,146.87,148.17,breakout,2026-07-08T17:15:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\08.07.2026\Снимок экрана 2026-07-09 221522.png
UNIUSDT,1m,resistance,3.333,3.342,breakout,2026-07-08T15:56:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\08.07.2026\Снимок экрана 2026-07-09 221526.png
TACUSDT,5m,support,0.003201,0.003342,breakout,2026-07-08T12:36:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\08.07.2026\Снимок экрана 2026-07-09 221530.png
